id,binsize,name,file_path,value_type,dataset_id,intervals_id
75762,100000,3e8fefe865ad498dbae7d3d50ce00be9_line.npy,/code/temp/3e8fefe865ad498dbae7d3d50ce00be9_line.npy,line,11,1565
75763,20000,e6176f688350470e91dc7780ac80dd06_line.npy,/code/temp/e6176f688350470e91dc7780ac80dd06_line.npy,line,467,1565
75764,100000,9a463d92a52b4f0893fd6eff3c234dcc_line.npy,/code/temp/9a463d92a52b4f0893fd6eff3c234dcc_line.npy,line,18,1565
75766,100000,8a19402dcd6a4b5b908820d6a4408c4a_line.npy,/code/temp/8a19402dcd6a4b5b908820d6a4408c4a_line.npy,line,163,1565
75769,100000,82790268dc574368833f0f452359cbb0_line.npy,/code/temp/82790268dc574368833f0f452359cbb0_line.npy,line,165,1565
75771,100000,3997ea5389634aedb9ee642225d35ca7_line.npy,/code/temp/3997ea5389634aedb9ee642225d35ca7_line.npy,line,460,1565
75773,100000,bcd28fe5dbad4371855970c89293654c_line.npy,/code/temp/bcd28fe5dbad4371855970c89293654c_line.npy,line,461,1565
75774,100000,8431b42235854e10b5ea00b48896ca42_line.npy,/code/temp/8431b42235854e10b5ea00b48896ca42_line.npy,line,462,1565
75775,100000,8bea2bac13324b4da0d9d4a124ff010b_line.npy,/code/temp/8bea2bac13324b4da0d9d4a124ff010b_line.npy,line,466,1565
75777,100000,913bd711ac5c4f5db43077a01b8d6b48_line.npy,/code/temp/913bd711ac5c4f5db43077a01b8d6b48_line.npy,line,467,1565
76048,20000,3d05e99131f143a28a2d23cf10cf2e7d.npy,/code/temp/3d05e99131f143a28a2d23cf10cf2e7d.npy,ICCF,477,1565
76050,20000,90f41b98d773483a8c915bb15b41abea.npy,/code/temp/90f41b98d773483a8c915bb15b41abea.npy,Obs/Exp,477,1565
79148,20000,d97cba4421cc403c918df669fa26cdae_line.npy,/code/temp/d97cba4421cc403c918df669fa26cdae_line.npy,line,571,1565
